,Feature 1,Feature 2,Label,Cosine Similarity,Predicted Label
1829,correct user intended position tools,find a place,different,0.497426808,different
4432,image file size editing,see every pixel,different,0.496828586,different
1436,spray tool,drawing tools like brush,different,0.496549666,different
2584,correct user intended position tools,liked line,different,0.494300008,different
134,confirm tool application selecting tool,add pen tool,different,0.493563235,different
3709,reuse drawingsurface pipette activity,paste a part,different,0.492920458,different
130,copy paste symbols stamp tool selection application,add pen tool,different,0.49249652,different
11,copy paste symbols stamp tool selection application,selection tool,similar,0.492327034,different
1741,center button transform tool,fill tools,different,0.491687924,different
5267,paste tool,white worked,different,0.490832835,different
2652,checkmark confirm tool applications,line tools,different,0.490755826,different
3259,save temporary copies automatically,move bits,different,0.490465313,different
829,copy paste symbols stamp tool selection application,color fill tool,different,0.490345627,different
307,paste tool,applying a color,different,0.49017939,different
2603,confirm tool application selecting tool,liked line tool,different,0.489886194,different
1376,paste tool,draw some lines,different,0.489764452,different
2639,dynamic color scheme,line shapes,different,0.489450306,different
5240,paste tool,version ads,different,0.488950521,different
4248,dynamic color scheme,resizing entire image,different,0.488419026,different
773,hint change default settings tools,code to games,different,0.488151312,different
21,save load pocketpaint format,load photos,different,0.487904072,different
20,save load pocketpaint format,load photos,different,0.487904072,different
3386,github crowdin integration,multi touch interface,different,0.487714857,different
1704,spray tool,fill tool fills,different,0.487444282,different
3446,dynamic color scheme,new image option,different,0.487429947,different
1349,paste tool,draw frames,different,0.487134635,different
4209,copy paste symbols stamp tool selection application,resize tool,different,0.486623406,different
2153,correct user intended position tools,good range,different,0.486583143,different
2963,paste tool,manipulator programs,different,0.486524582,different
410,dynamic color scheme,available font,different,0.486002415,different
1725,paste tool,fill tools,different,0.485762835,different
633,share feature,chat thing,different,0.485521853,different
63,dynamic color scheme,add a blur,different,0.485477388,different
1450,reuse drawingsurface pipette activity,drawing tools like brush,different,0.485377818,different
491,dynamic color scheme,blur tool,different,0.485229671,different
2653,copy paste symbols stamp tool selection application,line tools,different,0.484643072,different
3748,spray tool,paths brushes,different,0.483677208,different
1187,paste tool,curve tool,different,0.483290255,different
1603,save dialog,enter texts,different,0.483269781,different
1727,save load pocketpaint format,fill tools,different,0.48238647,different
1726,save load pocketpaint format,fill tools,different,0.48238647,different
4566,dynamic color scheme,settings option,different,0.482083321,different
327,reuse drawingsurface pipette activity,applying a color,different,0.481940806,different
2235,dynamic color scheme,ground color change,different,0.48180443,different
2126,correct user intended position tools,good art,different,0.4808698,different
473,spray tool,blur tool,different,0.480315685,different
4294,center button transform tool,rotation controls,different,0.479226738,different
465,close transform tool options clicking apply,blur tool,different,0.478479385,different
3932,save load pocketpaint format,pocket paint,different,0.47791934,different
3931,save load pocketpaint format,pocket paint,different,0.47791934,different
4775,reuse drawingsurface pipette activity,spray tool,different,0.477735758,different
2127,dynamic color scheme,good art,different,0.476731122,different
1387,copy paste symbols stamp tool selection application,draw some lines,different,0.476547122,different
313,spray tool,applying a color,different,0.475740969,different
5237,dynamic color scheme,user interface,different,0.475683779,different
436,correct user intended position tools,basic animation package,different,0.474351197,different
4756,paste tool,spray tool,different,0.474218667,different
2658,center button transform tool,line tools,different,0.473843038,different
3905,save load pocketpaint format,pocket code,different,0.473802209,different
3904,save load pocketpaint format,pocket code,different,0.473802209,different
3739,dynamic color scheme,paste images,different,0.472897679,different
3372,share feature,multi touch interface,different,0.472430766,different
3232,save temporary copies automatically,more updates,different,0.472331911,different
1202,confirm tool application selecting tool,curve tool,different,0.472129196,different
2615,paste tool,line shapes,different,0.470978826,different
3392,dynamic color scheme,multi touch interface,different,0.470660686,different
3735,reuse drawingsurface pipette activity,paste images,different,0.470240444,different
2369,dynamic color scheme,intuitive layout,different,0.470004976,different
3688,dynamic color scheme,paint file,different,0.469753921,different
5244,share feature,version ads,different,0.469407082,different
4569,paste tool,shrink an image,different,0.468755305,different
5236,correct user intended position tools,user interface,different,0.468007356,different
5235,upload mapping jenkins release builds,user interface,different,0.467281103,different
4145,save temporary copies automatically,resize picture,different,0.467029363,different
5168,hint change default settings tools,ui design,different,0.466935426,different
3598,confirm tool application selecting tool,outline an addition,different,0.466881722,different
731,image file size editing,clone tool,different,0.466020823,different
5369,image file size editing,zoom tool,different,0.46552211,different
2983,reuse drawingsurface pipette activity,manipulator programs,different,0.464607656,different
32,dynamic color scheme,colour picker,different,0.464287162,different
3182,hide unhide layer,more layers,different,0.464203745,different
1748,correct user intended position tools,fill tools,different,0.463914037,different
2626,copy paste symbols stamp tool selection application,line shapes,different,0.463422984,different
4512,correct user intended position tools,selection tool,different,0.462740034,different
2261,dynamic color scheme,image editing,different,0.46261999,different
1561,correct user intended position tools,edit small things,different,0.462484747,different
2506,save temporary copies automatically,last update perfect,different,0.462321818,different
5174,confirm tool application selecting tool,ui design,different,0.462299824,different
4208,checkmark confirm tool applications,resize tool,different,0.461592257,different
3068,dynamic color scheme,marking options,different,0.461552471,different
3664,paste tool,paint file,different,0.460769534,different
1441,copy paste symbols stamp tool selection application,drawing tools like brush,different,0.460725129,different
5132,paste tool,type text,different,0.460224092,different
4452,export,see this drive,different,0.459969133,different
4646,close transform tool options clicking apply,simple draw offer,different,0.45996806,different
1313,github crowdin integration,device folder,different,0.459913254,different
4491,paste tool,selection tool,different,0.45988372,different
3347,spray tool,ms paint,different,0.459873587,different
1700,save load pocketpaint format,fill tool fills,different,0.459800243,different
1699,save load pocketpaint format,fill tool fills,different,0.459800243,different
4342,save dialog,save your favourite,different,0.458240509,different
3338,dynamic color scheme,move text,different,0.458227694,different
2979,center button transform tool,manipulator programs,different,0.457836986,different
3032,confirm tool application selecting tool,many tools,different,0.457829416,different
2449,correct user intended position tools,landscape fact,different,0.457616061,different
891,image file size editing,color picker,different,0.457586825,different
5061,hint change default settings tools,toggle move option,different,0.45758298,different
5371,correct user intended position tools,zoom tool,different,0.457542628,different
626,dynamic color scheme,changing cartoon characters,different,0.457178503,different
4671,correct user intended position tools,simple draw offer,different,0.456815898,different
3583,paste tool,outline an addition,different,0.455926657,different
4929,save dialog,text input option,different,0.45577234,different
1518,insert image catrobat media gallery,edit photos of gacha,different,0.455548704,different
4224,save temporary copies automatically,resizing entire image,different,0.455284834,different
3768,save temporary copies automatically,perfect substitute,different,0.455044061,different
1065,copy paste symbols stamp tool selection application,create graphics,different,0.454739779,different
641,save dialog,chat thing,different,0.454149216,different
5218,feedback menu entry overflow menu,user interface,different,0.453919351,different
4245,reuse drawingsurface pipette activity,resizing entire image,different,0.453695476,different
1453,correct user intended position tools,drawing tools like brush,different,0.45343405,different
1532,image file size editing,edit photos of gacha,different,0.45285964,different
4446,auto crop icon,see this drive,different,0.452778459,different
1403,paste tool,drawing tool for kids,different,0.45269388,different
4926,hint change default settings tools,text input option,different,0.452631861,different
5354,spray tool,zoom tool,different,0.452386141,different
5143,copy paste symbols stamp tool selection application,type text,different,0.452225626,different
3326,save dialog,move text,different,0.452043265,different
500,spray tool,brush canvas,different,0.451868892,different
2540,spray tool,like paint,different,0.45025447,different
1692,image file size editing,fill color,different,0.450102985,different
4381,dynamic color scheme,screen shots,different,0.450031847,different
84,github crowdin integration,add graph,different,0.449974626,different
5064,save dialog,toggle move option,different,0.449374795,different
4171,save temporary copies automatically,resize pictures,different,0.449327171,different
3792,correct user intended position tools,perfect substitute,different,0.448705256,different
3245,save dialog,more updates,different,0.448598504,different
1691,reuse drawingsurface pipette activity,fill color,different,0.448442638,different
2635,reuse drawingsurface pipette activity,line shapes,different,0.448354661,different
3115,fastlane support huawei store,microsoft computers,different,0.448270857,different
5318,dynamic color scheme,wide range,different,0.448077708,different
934,copy paste symbols stamp tool selection application,colour picker,different,0.447998643,different
3294,insert image catrobat media gallery,move image,different,0.446663201,different
1304,hint change default settings tools,device folder,different,0.44646886,different
5239,save temporary copies automatically,version ads,different,0.446377933,different
870,paste tool,color picker,different,0.44633764,different
726,center button transform tool,clone tool,different,0.446121901,different
6,correct user intended position tools,original position,similar,0.446111977,different
1297,save load pocketpaint format,device folder,different,0.446100205,different
1296,save load pocketpaint format,device folder,different,0.446100205,different
2952,center button transform tool,main issue tools,different,0.446058452,different
2969,spray tool,manipulator programs,different,0.445638299,different
3737,upload mapping jenkins release builds,paste images,different,0.445417792,different
5010,save dialog,text to pictures,different,0.445354879,different
1714,center button transform tool,fill tool fills,different,0.444274843,different
3054,checkmark confirm tool applications,marking options,different,0.444068581,different
4219,image file size editing,resize tool,different,0.443993568,different
3361,reuse drawingsurface pipette activity,ms paint,different,0.443935633,different
1021,image file size editing,copy paste,different,0.443271279,different
3255,upload mapping jenkins release builds,more updates,different,0.443269312,different
2588,paste tool,liked line tool,different,0.442755014,different
3610,paste tool,output resolution,different,0.441956609,different
401,confirm tool application selecting tool,available font,different,0.441907257,different
3844,image file size editing,pictures shots,different,0.441890955,different
4557,confirm tool application selecting tool,settings option,different,0.441852838,different
3633,correct user intended position tools,output resolution,different,0.441799521,different
2344,save temporary copies automatically,intuitive layout,different,0.441571325,different
1132,dynamic color scheme,creating a option,different,0.440885395,different
1482,close transform tool options clicking apply,dynamic brushes,different,0.440834582,different
1112,share feature,creating a option,different,0.440158129,different
171,save temporary copies automatically,adding text,different,0.439451396,different
1731,spray tool,fill tools,different,0.439187795,different
833,confirm tool application selecting tool,color fill tool,different,0.438714027,different
5372,dynamic color scheme,zoom tool,different,0.438277781,different
3847,dynamic color scheme,pictures shots,different,0.438103735,different
2530,correct user intended position tools,last update perfect,different,0.437288523,different
4152,spray tool,resize picture,different,0.437133938,different
1549,copy paste symbols stamp tool selection application,edit small things,different,0.437083185,different
3724,hint change default settings tools,paste images,different,0.436760187,different
466,save temporary copies automatically,blur tool,different,0.436605692,different
3608,close transform tool options clicking apply,output resolution,different,0.436241567,different
3657,reuse drawingsurface pipette activity,paint bucket,different,0.436185688,different
3044,paste tool,marking options,different,0.436029613,different
2504,dynamic color scheme,large image,different,0.435972512,different
3634,dynamic color scheme,output resolution,different,0.435618222,different
2695,save load pocketpaint format,load pictures,different,0.435224712,different
22,save load pocketpaint format,load pictures,different,0.435224712,different
4955,copy paste symbols stamp tool selection application,text insert,different,0.435074747,different
4675,paste tool,small basic animation,different,0.435034513,different
5396,image file size editing,zooming capabilities,different,0.434753209,different
1559,image file size editing,edit small things,different,0.433833659,different
1544,spray tool,edit small things,different,0.433833659,different
409,correct user intended position tools,available font,different,0.43371892,different
4158,save dialog,resize picture,different,0.43355912,different
3689,close transform tool options clicking apply,paste a part,different,0.43351227,different
4197,save temporary copies automatically,resize tool,different,0.43308863,different
2288,dynamic color scheme,image edition,different,0.433004081,different
4567,close transform tool options clicking apply,shrink an image,different,0.432964176,different
2640,close transform tool options clicking apply,line tools,different,0.432897866,different
4196,close transform tool options clicking apply,resize tool,different,0.432476223,different
683,paste tool,circle tools,different,0.432322979,different
1625,insert image catrobat media gallery,export my pictures,different,0.432101429,different
5225,save dialog,user interface,different,0.431722492,different
1510,save temporary copies automatically,edit photos of gacha,different,0.431380749,different
3059,confirm tool application selecting tool,marking options,different,0.431164414,different
4951,insert image catrobat media gallery,text insert,different,0.430945456,different
1547,hint change default settings tools,edit small things,different,0.430525303,different
1565,paste tool,editing large images,different,0.430229247,different
4505,center button transform tool,selection tool,different,0.429891825,different
3313,save temporary copies automatically,move text,different,0.429869503,different
5040,confirm tool application selecting tool,think concept,different,0.429725647,different
455,confirm tool application selecting tool,basic components,different,0.429362595,different
3323,hint change default settings tools,move text,different,0.42902869,different
1747,upload mapping jenkins release builds,fill tools,different,0.428898811,different
2534,paste tool,like paint,different,0.428470671,different
5069,fastlane support huawei store,toggle move option,different,0.42836535,different
5249,hint change default settings tools,version ads,different,0.427018166,different
4780,close transform tool options clicking apply,stop camera,different,0.426892459,different
4982,copy paste symbols stamp tool selection application,text outline,different,0.426805884,different
1962,image file size editing,full screen,different,0.425902128,different
4554,save dialog,settings option,different,0.425867558,different
2625,checkmark confirm tool applications,line shapes,different,0.425789356,different
811,reuse drawingsurface pipette activity,color drawings,different,0.425614268,different
975,paste tool,converting photos from mb,different,0.425409406,different
4928,copy paste symbols stamp tool selection application,text input option,different,0.4251661,different
1507,correct user intended position tools,dynamic brushes,different,0.424678355,different
1193,spray tool,curve tool,different,0.42450583,different
1400,dynamic color scheme,draw some lines,different,0.424280673,different
4621,save temporary copies automatically,simple area selection,different,0.423951268,different
1576,copy paste symbols stamp tool selection application,editing large images,different,0.423608929,different
2974,copy paste symbols stamp tool selection application,manipulator programs,different,0.423481762,different
395,hint change default settings tools,available font,different,0.423368633,different
4166,reuse drawingsurface pipette activity,resize picture,different,0.423250943,different
2501,image file size editing,large image,different,0.42303139,different
4220,upload mapping jenkins release builds,resize tool,different,0.423028886,different
4650,save load pocketpaint format,simple draw offer,different,0.42301175,different
4649,save load pocketpaint format,simple draw offer,different,0.42301175,different
152,spray tool,add transparency,different,0.422936678,different
3900,dynamic color scheme,pixel art,different,0.422650874,different
676,reuse drawingsurface pipette activity,circle draw,different,0.422573358,different
4510,image file size editing,selection tool,different,0.422471732,different
4991,reuse drawingsurface pipette activity,text outline,different,0.422091603,different
1746,image file size editing,fill tools,different,0.421445161,different
2978,confirm tool application selecting tool,manipulator programs,different,0.421440095,different
1504,reuse drawingsurface pipette activity,dynamic brushes,different,0.421130121,different
1531,reuse drawingsurface pipette activity,edit photos of gacha,different,0.42085734,different
5183,dynamic color scheme,ui design,different,0.42067951,different
1484,paste tool,dynamic brushes,different,0.420526445,different
367,auto crop icon,auto zoom kills,different,0.420523345,different
3203,dynamic color scheme,more layers,different,0.420517027,different
4647,save temporary copies automatically,simple draw offer,different,0.419704616,different
1207,reuse drawingsurface pipette activity,curve tool,different,0.419679374,different
746,hint change default settings tools,code games,different,0.418564141,different
1373,dynamic color scheme,draw frames,different,0.418501318,different
1299,share feature,device folder,different,0.418488741,different
478,copy paste symbols stamp tool selection application,blur tool,different,0.418441594,different
4223,close transform tool options clicking apply,resizing entire image,different,0.418431133,different
3384,center button transform tool,multi touch interface,different,0.418114573,different
4153,insert image catrobat media gallery,resize picture,different,0.418078244,different
1317,upload mapping jenkins release builds,device folder,different,0.417670429,different
142,correct user intended position tools,add pen tool,different,0.417585254,different
5229,center button transform tool,user interface,different,0.417371809,different
3727,save dialog,paste images,different,0.417225778,different
4022,copy paste symbols stamp tool selection application,rectangle stamp,different,0.417004853,different
638,hint change default settings tools,chat thing,different,0.416926503,different
1509,close transform tool options clicking apply,edit photos of gacha,different,0.416788995,different
28,dynamic color scheme,transparent color,different,0.416643113,different
3267,insert image catrobat media gallery,move bits,different,0.416510552,different
5070,github crowdin integration,toggle move option,different,0.416450202,different
3312,close transform tool options clicking apply,move text,different,0.416410148,different
768,share feature,code to games,different,0.416394025,different
4500,hint change default settings tools,selection tool,different,0.416339755,different
2249,copy paste symbols stamp tool selection application,image editing,different,0.416181982,different
1069,confirm tool application selecting tool,create graphics,different,0.416121185,different
5163,share feature,ui design,different,0.416113347,different
3626,center button transform tool,output resolution,different,0.416074604,different
3625,confirm tool application selecting tool,output resolution,different,0.415997803,different
3448,save temporary copies automatically,new update,different,0.415952772,different
2648,spray tool,line tools,different,0.41582197,different
709,save temporary copies automatically,clone tool,different,0.415784925,different
545,dynamic color scheme,change canvas size,different,0.415319741,different
4941,dynamic color scheme,text input option,different,0.414977163,different
3443,image file size editing,new image option,different,0.414930969,different
5234,image file size editing,user interface,different,0.414410979,different
3301,export,move image,different,0.414108604,different
2958,upload mapping jenkins release builds,main issue tools,different,0.413996905,different
3192,better compression research implementation,more layers,different,0.413829386,different
4210,save dialog,resize tool,different,0.413462728,different
4144,close transform tool options clicking apply,resize picture,different,0.412914991,different
479,save dialog,blur tool,different,0.412689477,different
192,reuse drawingsurface pipette activity,adding text,different,0.412649095,different
1558,reuse drawingsurface pipette activity,edit small things,different,0.412413657,different
3685,image file size editing,paint file,different,0.412139505,different
1311,center button transform tool,device folder,different,0.412062258,different
817,save temporary copies automatically,color fill tool,different,0.412051648,different
172,paste tool,adding text,different,0.411938608,different
3291,share feature,move image,different,0.411597133,different
2332,export,inport picture,different,0.410899162,different
2477,dynamic color scheme,landscape mode,different,0.410855651,different
3308,image file size editing,move image,different,0.41040808,different
5029,share feature,think concept,different,0.410375118,different
3712,correct user intended position tools,paste a part,different,0.409974009,different
869,save temporary copies automatically,color picker,different,0.409823418,different
4178,spray tool,resize pictures,different,0.409653753,different
791,paste tool,color drawings,different,0.409508526,different
3033,center button transform tool,many tools,different,0.4091824,different
923,paste tool,colour picker,different,0.408888578,different
1550,save dialog,edit small things,different,0.40886578,different
569,image file size editing,change width,different,0.408381701,different
4364,insert image catrobat media gallery,screen shots,different,0.408105165,different
1713,confirm tool application selecting tool,fill tool fills,different,0.408075094,different
5213,paste tool,user interface,different,0.407993227,different
4753,dynamic color scheme,specify canvas size,different,0.407856703,different
779,confirm tool application selecting tool,code to games,different,0.407823324,different
1698,paste tool,fill tool fills,different,0.407459795,different
4378,image file size editing,screen shots,different,0.40731442,different
1369,reuse drawingsurface pipette activity,draw frames,different,0.407090276,different
720,checkmark confirm tool applications,clone tool,different,0.406966925,different
135,center button transform tool,add pen tool,different,0.406813651,different
1203,center button transform tool,curve tool,different,0.406681955,different
4246,upload mapping jenkins release builds,resizing entire image,different,0.406666219,different
3037,reuse drawingsurface pipette activity,many tools,different,0.406662047,different
4454,center button transform tool,see this drive,different,0.406586051,different
4435,dynamic color scheme,see every pixel,different,0.406457096,different
4495,share feature,selection tool,different,0.406059444,different
2608,reuse drawingsurface pipette activity,liked line tool,different,0.40563339,different
3380,save dialog,multi touch interface,different,0.405553758,different
2461,auto crop icon,landscape mode,different,0.405511647,different
1042,confirm tool application selecting tool,correct point,different,0.405439734,different
3116,github crowdin integration,microsoft computers,different,0.405225545,different
841,correct user intended position tools,color fill tool,different,0.405082613,different
129,checkmark confirm tool applications,add pen tool,different,0.404659718,different
5264,dynamic color scheme,version ads,different,0.404607177,different
3243,checkmark confirm tool applications,more updates,different,0.404236078,different
2554,reuse drawingsurface pipette activity,like paint,different,0.404052019,different
903,insert image catrobat media gallery,colour fill option,different,0.403870583,different
1965,dynamic color scheme,full screen,different,0.403765708,different
428,confirm tool application selecting tool,basic animation package,different,0.403229564,different
4497,spray tool,selection tool,different,0.402427018,different
184,save dialog,adding text,different,0.402317673,different
433,reuse drawingsurface pipette activity,basic animation package,different,0.402310818,different
407,image file size editing,available font,different,0.402158886,different
725,confirm tool application selecting tool,clone tool,different,0.401762068,different
1115,insert image catrobat media gallery,creating a option,different,0.401678294,different
60,image file size editing,add a blur,different,0.401664585,different
3284,dynamic color scheme,move bits,different,0.40147084,different
3274,export,move bits,different,0.401160866,different
1736,copy paste symbols stamp tool selection application,fill tools,different,0.400785625,different
4200,save load pocketpaint format,resize tool,different,0.400752783,different
4199,save load pocketpaint format,resize tool,different,0.400752783,different
4302,dynamic color scheme,rotation controls,different,0.400589675,different
554,spray tool,change width,different,0.400585949,different
5211,close transform tool options clicking apply,user interface,different,0.40014419,different
3246,better compression research implementation,more updates,different,0.400034368,different
5260,reuse drawingsurface pipette activity,version ads,different,0.399920046,different
5290,correct user intended position tools,white worked,different,0.399812907,different
464,dynamic color scheme,basic components,different,0.399742126,different
2905,correct user intended position tools,made reviews,different,0.399725974,different
2237,save temporary copies automatically,image editing,different,0.399664521,different
885,confirm tool application selecting tool,color picker,different,0.398699075,different
3704,confirm tool application selecting tool,paste a part,different,0.398474991,different
1000,close transform tool options clicking apply,copy paste,different,0.398293793,different
4652,share feature,simple draw offer,different,0.398218572,different
944,image file size editing,colour picker,different,0.398216665,different
1670,save temporary copies automatically,fill color,different,0.398198485,different
1101,reuse drawingsurface pipette activity,create pictures,different,0.398162067,different
4648,paste tool,simple draw offer,different,0.397856027,different
3206,paste tool,more shapes,different,0.397615731,different
706,correct user intended position tools,circle tools,different,0.397578239,different
3038,image file size editing,many tools,different,0.397449315,different
4504,export,selection tool,different,0.397306561,different
4778,correct user intended position tools,spray tool,different,0.397263348,different
3321,insert image catrobat media gallery,move text,different,0.39707759,different
4986,confirm tool application selecting tool,text outline,different,0.39703089,different
5182,correct user intended position tools,ui design,different,0.396821797,different
183,copy paste symbols stamp tool selection application,adding text,different,0.396816701,different
193,image file size editing,adding text,different,0.396804214,different
3389,image file size editing,multi touch interface,different,0.396547496,different
2994,share feature,many opportunities,different,0.396287709,different
1540,save load pocketpaint format,edit small things,different,0.395917058,different
1539,save load pocketpaint format,edit small things,different,0.395917058,different
4838,save load pocketpaint format,take small space,different,0.395812452,different
4837,save load pocketpaint format,take small space,different,0.395812452,different
113,reuse drawingsurface pipette activity,add more colour,different,0.395781696,different
2154,dynamic color scheme,good range,different,0.395739943,different
1077,correct user intended position tools,create graphics,different,0.395598531,different
3017,paste tool,many tools,different,0.395572454,different
396,checkmark confirm tool applications,available font,different,0.395546854,different
5388,better compression research implementation,zooming capabilities,different,0.395451844,different
2244,spray tool,image editing,different,0.395345151,different
5153,image file size editing,type text,different,0.395264447,different
830,save dialog,color fill tool,different,0.395231038,different
3462,better compression research implementation,new update,different,0.395128548,different
3699,hint change default settings tools,paste a part,different,0.395061493,different
